conversation_ID,floor_transfer_offset,conversation_time,t1_speaker,t2_speaker,t1_seq_initiating,t1_seq_responding,t1_seq_backchannel,t2_seq_initiating,t2_seq_responding,t2_seq_backchannel,t1_proc_clauses,t2_proc_clauses,t1_proc_frequency,t2_proc_frequency,t1_proc_concreteness,t2_proc_concreteness,t1_nonv_speaker_gaze,t1_nonv_listener_gaze,t1_nonv_pitch,t1_oth_sex,t2_oth_sex,t1_proc_speechrate,t2_proc_speechrate,t1_proc_duration,t2_proc_duration
DVA1A,0.23099999999999454,160.187,1,2,no,no,no,no,no,yes,1,2,546.1666666666666,1491,1.814,1.4825,g,g,high,F,F,1.303295652159957,1.2378941858785746,4.485000000000014,2.4839999999999804
DVA1A,0.3170000000000073,162.902,2,1,no,no,no,no,no,no,2,1,1491,584,1.4825,1.13,g,g,high,F,F,1.2378941858785746,1.900455890597142,2.4839999999999804,0.3300000000000125
DVA1A,0.44700000000000273,163.549,1,2,no,no,no,no,no,no,1,1,584,1140,1.13,1.3566666666666667,g,x,high,F,F,1.900455890597142,1.3861351964365531,0.3300000000000125,0.539999999999992
DVA1A,0.4619999999999891,164.536,2,1,no,no,no,no,no,no,1,1,1140,333.625,1.3566666666666667,2.0100000000000002,x,g,mid,F,F,1.3861351964365531,0.7859245137005566,0.539999999999992,1.3000000000000114
DVA1A,0.06200000000001182,166.298,1,2,no,no,no,no,no,no,1,1,333.625,632.3333333333334,2.0100000000000002,3.2,g,g-x,high,F,F,0.7859245137005566,1.1119055056515756,1.3000000000000114,0.5099999999999909
DVA1A,0.3009999999999877,166.87,2,1,no,no,no,no,no,no,1,1,632.3333333333334,253,3.2,2.25,x,g,mid,F,F,1.1119055056515756,0.7045233372348921,0.5099999999999909,0.6200000000000045
DVA1A,-0.6059999999999945,167.185,1,2,no,no,no,no,no,no,1,1,253,378.8,2.25,1.7850000000000001,g,x,high,F,F,0.7045233372348921,0.786297743497275,0.6200000000000045,0.789999999999992
DVA1A,0.3199999999999932,167.975,2,1,no,no,no,no,no,no,1,1,378.8,670.925925925926,1.7850000000000001,1.7354545454545451,x-g,g,mid,F,F,0.786297743497275,1.2885828769744048,0.789999999999992,7.623000000000019
DVA1A,0.10499999999998977,175.918,1,2,no,no,no,no,no,yes,1,1,670.925925925926,2702,1.7354545454545451,1.53,g,g,mid,F,F,1.2885828769744048,0.9827610237655022,7.623000000000019,0.18999999999999773
DVA1A,0.5589999999999975,176.213,2,1,no,no,yes,no,no,no,1,1,2702,480.3333333333333,1.53,1.6500000000000001,g,g,low,F,F,0.9827610237655022,0.939285680526223,0.18999999999999773,2.730000000000018
DVA1A,0.24500000000000455,179.502,1,2,no,no,no,no,no,yes,1,1,480.3333333333333,1573,1.6500000000000001,2,g,g,mid,F,F,0.939285680526223,1.0836061451176096,2.730000000000018,0.9499999999999886
DVA1A,-0.4509999999999934,180.246,2,1,no,no,yes,no,no,no,1,1,1573,199.8,2,2.534,g,g,high,F,F,1.0836061451176096,1.038490943332546,0.9499999999999886,1.3899999999999864
DVA1A,0.13400000000001455,181.636,1,2,no,no,no,no,no,yes,1,1,199.8,2702,2.534,1.53,g,g,high,F,F,1.038490943332546,0.5997961585206615,1.3899999999999864,0.10999999999998522
DVA1A,0.28999999999999204,181.88,2,1,no,no,yes,no,no,no,1,3,2702,467.18918918918916,1.53,1.6583333333333334,g,g,mid,F,F,0.5997961585206615,1.1566602460873927,0.10999999999998522,10.428000000000026
DVA1A,-0.021000000000015007,192.577,1,2,no,no,no,no,no,no,3,1,467.18918918918916,935.6,1.6583333333333334,1.49,g,g,high,F,F,1.1566602460873927,1.1252520726510808,10.428000000000026,2.1100000000000136
DVA1A,-1.2410000000000139,193.446,2,1,no,no,no,no,no,no,1,1,935.6,418.5,1.49,1.933333333333333,x-g,g-x,mid,F,F,1.1252520726510808,1.0541558819314536,2.1100000000000136,1.710000000000008
DVA1A,-0.4130000000000109,194.743,1,2,no,no,no,no,no,no,1,1,418.5,485,1.933333333333333,3.1999999999999997,g,g,low,F,F,1.0541558819314536,0.8048136832957844,1.710000000000008,0.5099999999999909
DVA1A,0.5340000000000202,195.253,2,1,no,no,no,no,no,no,1,NA,485,NA,3.1999999999999997,NA,g,g,mid,F,F,0.8048136832957844,0.898946737405149,0.5099999999999909,1.6099999999999852
DVA1A,-0.4609999999999843,196.936,1,2,no,no,no,no,no,yes,NA,1,NA,2702,NA,1.53,g,g,mid,F,F,0.898946737405149,1.1197136891720376,1.6099999999999852,0.6899999999999977
DVA1A,-0.10200000000000387,197.524,2,1,no,no,yes,no,no,no,1,2,2702,657.08,1.53,1.9391304347826088,g,g-x,mid,F,F,1.1197136891720376,0.8325111374524333,0.6899999999999977,5.739000000000004
DVA1A,0.06700000000000728,203.263,1,2,no,no,no,no,no,yes,2,1,657.08,515,1.9391304347826088,NA,g,g,mid,F,F,0.8325111374524333,3.4996021168429836,5.739000000000004,0.29999999999998295
DVA1A,-0.26300000000000523,203.367,2,1,no,no,yes,yes,no,no,1,1,515,630.7692307692307,NA,1.7945454545454544,g,g,mid,F,F,3.4996021168429836,1.2152328614544825,0.29999999999998295,2.7900000000000205
DVA1A,-0.12400000000002365,206.033,1,2,yes,no,no,no,no,yes,1,3,630.7692307692307,733.25,1.7945454545454544,1.8136363636363633,g,g-x,high,F,F,1.2152328614544825,0.9771247567696912,2.7900000000000205,7.437000000000012
DVA1A,0.6800000000000068,213.47,2,1,no,no,no,yes,no,no,3,1,733.25,166,1.8136363636363633,2.05,g-x,g,low,F,F,0.9771247567696912,1.2581553505429022,7.437000000000012,0.7199999999999989
DVA1A,0.6359999999999957,214.87,1,2,yes,no,no,no,yes,no,1,9,166,398.0120481927711,2.05,1.9181081081081084,g,x,mid,F,F,1.2581553505429022,0.8823023031037651,0.7199999999999989,19.614000000000004
DVA1A,-0.8969999999999914,234.223,2,1,no,no,no,no,no,no,9,1,398.0120481927711,172,1.9181081081081084,1.565,g,g,mid,F,F,0.8823023031037651,1.9715822238132992,19.614000000000004,1.1899999999999977
DVA1A,0.07499999999998863,235.413,1,2,no,no,no,no,no,no,1,1,172,466.625,1.565,1.4074999999999998,g,g-x,mid,F,F,1.9715822238132992,0.9503060472210981,1.1899999999999977,1.7299999999999898
DVA1A,-0.21699999999998454,237.001,2,1,no,no,no,no,no,no,1,1,466.625,152.5,1.4074999999999998,1.4,g,g,high,F,F,0.9503060472210981,0.9150046724859385,1.7299999999999898,0.4900000000000091
DVA1A,0.3269999999999982,237.491,1,2,no,no,no,no,no,no,1,9,152.5,394.2830188679245,1.4,1.793297872340426,g,g,mid,F,F,0.9150046724859385,0.8778198389589238,0.4900000000000091,24.98799999999997
